neighborhood,room_type,accommodates,bedrooms,number_of_reviews,wifi,cable_tv,washer,kitchen,price
2,1,3,1.0,118,1,0,1,1,60.0
3,2,2,1.0,6,1,1,1,1,17.0
3,1,4,1.0,143,1,1,1,1,90.0
6,2,2,1.0,25,1,1,1,0,26.0
3,2,2,1.0,197,1,1,0,0,42.0
3,1,7,4.0,6,1,0,1,1,180.0
3,1,2,0.0,23,1,0,1,1,70.0
1,2,2,1.0,0,1,0,1,1,120.0
1,1,5,1.0,48,1,0,1,1,90.0
3,2,2,1.0,279,1,0,1,1,45.0
3,1,4,2.0,56,1,0,1,1,129.0
1,1,4,1.0,60,1,0,1,1,70.0
1,1,4,2.0,61,1,0,1,1,98.0
2,1,5,1.0,223,1,0,1,1,160.0
1,1,4,1.0,96,1,0,0,1,65.0
3,1,4,2.0,18,1,0,1,1,90.0
3,1,4,2.0,5,1,0,1,1,90.0
3,1,8,2.0,163,1,0,1,1,197.0
3,1,2,0.0,28,1,0,1,1,70.0
1,1,6,2.0,30,1,0,1,1,90.0
3,1,4,2.0,69,1,0,1,1,130.0
3,1,8,2.0,240,1,0,1,1,100.0
3,2,1,1.0,28,1,0,1,1,44.0
2,1,4,1.0,144,1,1,1,1,62.0
3,1,2,1.0,1,1,0,1,1,55.0
5,2,1,1.0,33,0,1,0,0,40.0
6,2,1,1.0,21,1,0,1,1,25.0
2,1,2,1.0,307,1,1,1,1,52.0
1,2,3,1.0,161,1,0,1,1,39.0
3,1,2,1.0,102,1,1,1,1,80.0
4,1,2,1.0,6,1,0,1,1,80.0
1,2,2,1.0,50,1,1,1,1,50.0
3,2,2,1.0,70,1,1,0,1,43.0
3,2,2,1.0,1,1,1,1,1,40.0
1,2,3,1.0,25,1,0,1,1,36.0
1,1,4,2.0,109,1,0,1,1,119.0
3,1,4,1.0,65,1,0,1,1,90.0
8,2,2,1.0,11,1,1,1,1,42.0
1,2,2,1.0,101,1,1,0,1,56.0
3,2,2,1.0,151,1,1,0,0,50.0
2,1,2,1.0,38,1,1,1,1,48.0
3,1,6,2.0,35,1,1,1,1,160.0
3,1,2,1.0,0,1,0,1,1,70.0
1,1,2,1.0,5,1,1,1,1,88.0
2,2,2,1.0,156,1,1,1,1,55.0
2,1,2,1.0,1,1,0,1,1,90.0
5,1,2,1.0,11,1,0,1,1,55.0
3,1,5,2.0,81,1,0,1,1,200.0
2,1,5,2.0,160,1,0,1,1,80.0
9,1,1,1.0,3,1,1,1,1,49.0
2,1,4,2.0,72,1,0,1,1,55.0
3,1,4,2.0,32,1,0,1,1,130.0
3,1,4,1.0,76,1,0,1,1,90.0
8,1,10,2.0,7,1,0,1,1,120.0
4,2,2,1.0,96,1,1,1,0,37.0
1,1,2,1.0,89,1,0,1,1,52.0
3,2,6,3.0,45,1,1,1,1,44.0
1,1,4,2.0,34,1,0,1,1,102.0
1,2,2,1.0,70,1,0,1,1,29.0
3,1,4,0.0,220,1,1,1,1,84.0
5,1,2,1.0,37,1,0,1,1,80.0
6,1,2,1.0,200,1,0,1,1,69.0
3,1,6,3.0,59,1,0,1,1,185.0
5,1,2,1.0,69,1,0,1,1,49.0
2,1,5,2.0,39,1,0,1,1,155.0
3,1,2,1.0,238,1,0,0,1,66.0
2,1,2,1.0,71,0,0,0,1,70.0
3,1,2,1.0,197,1,0,1,1,53.0
3,1,3,1.0,2,1,0,1,1,70.0
3,1,5,2.0,265,1,0,1,1,92.0
2,1,2,1.0,47,1,0,0,1,75.0
1,2,2,1.0,44,1,1,1,1,80.0
1,2,2,1.0,167,1,0,0,0,48.0
3,1,4,1.0,57,1,1,1,1,114.0
4,1,3,1.0,44,1,1,1,1,60.0
1,1,14,5.0,112,1,1,1,1,506.0
1,1,3,1.0,154,1,0,1,1,50.0
3,1,4,1.0,91,1,1,1,1,82.0
1,1,2,1.0,68,1,1,1,1,60.0
2,1,2,1.0,114,1,0,0,1,70.0
6,1,6,3.0,53,1,0,1,1,130.0
3,1,4,2.0,3,1,0,1,1,69.0
1,1,2,2.0,3,1,1,1,1,75.0
1,1,4,1.0,84,1,0,1,1,68.0
1,1,4,1.0,5,1,0,1,1,125.0
8,1,4,1.0,26,1,0,0,1,70.0
2,1,2,1.0,443,1,0,1,1,89.0
1,1,3,1.0,16,1,0,1,1,59.0
